epoch	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
0	54.174876727473794	38.73395571050908	25.386017941176213	17.19393454432633	30.546541217940877	52.67010593992673
1	59.83878615456144	44.64389748130696	31.41496475835713	23.02288224875043	33.66132409183694	55.9456347822044
2	58.70099114075198	45.42442620346029	33.9769849280503	26.215833249763747	33.95165683097092	56.595602089623
3	58.08478048009663	45.25944602479187	34.428815513915495	27.533607926057197	32.752853008329055	56.3010486695599
4	53.91115926326025	40.55601213976917	29.438334373799385	22.38995056213544	33.957870659718424	55.313922299610354
5	43.67494653725223	33.09829827878878	24.835069051806236	19.64685134485797	33.91578685631331	57.32912485997896
6	51.68841135839376	39.69587379685436	30.0550893865604	23.806572144409422	36.0257253491913	56.72999234022231
7	61.32793928757637	47.735825233963844	36.91299856248836	29.915396361242134	35.37590967397927	57.81720052808761
8	47.53521126759682	36.55032295364969	27.639977220268875	21.852065675728955	34.35706512203918	56.75914713051783
9	46.274038461530516	35.64593450315761	26.79972836052995	20.888423938602376	35.92753415310126	56.33741556879022
10	30.828361633773422	23.28769353572328	17.408263396956688	13.55637245690553	32.43010843539643	54.371825991378195
11	39.399267399261625	29.527717849489683	21.44581027253859	16.15531601810474	34.159277684603786	55.499417861279966
12	43.32596497193617	33.30485979826353	25.252491060927323	19.981060404474736	33.53392527533139	55.52650553951889
13	57.892366584089636	45.022348956918414	34.18944424367547	26.995014699311604	35.74307003007236	56.47499206758697
14	57.69481224222754	44.86809608987702	34.05606720437079	26.872203148504404	36.491926942066	56.81707417573369
15	51.55851793764917	39.8078060352501	30.06007681375501	23.848461666186527	36.11022205609727	56.06711946397761
16	60.924077083802885	48.40083636125971	37.55917955358355	30.17861644855063	36.59208588062462	57.38536508728219
17	56.91900242770759	44.46620937270896	33.730279620779704	26.51799973413884	35.535474027034816	56.43999072968431
18	45.00760263557273	34.59722082971267	26.077115554363473	20.460344746474988	35.03935115132435	55.96500158790063
19	60.276256251474095	46.64656800124227	34.865788027607806	27.429916790794167	35.36922358463975	55.74617986130866
20	47.62497776195559	36.88960319441586	27.780115987520865	21.728399036032116	36.20091878848306	56.29895241099363
21	62.197993558695586	48.58495353547492	37.234890228059605	29.56776393402274	36.98983432160855	57.06765884871645
22	60.993143756229514	48.12454623243407	36.81070603326073	29.160520197482278	36.39428214053623	56.3237659521546
23	47.274418604642364	36.55183505770842	27.769030820603003	21.81307476935673	34.09531672662347	53.79126770573149
24	58.674157303357596	46.26139825001779	35.298264710299	28.05167257583167	36.54288714502816	57.07271002897604
25	52.47242297450504	41.012533624151125	31.167495204998087	24.39708443058071	38.187378239418415	56.65570594366286
26	56.19469026547429	44.3472577557201	34.10638284150899	27.213065934875623	34.83189777382443	54.81916780772739
27	58.553515450054064	45.61157218653544	34.74994899068291	27.589428551001937	36.327317286662634	54.88164903879432
28	45.183982683974534	35.098357667282585	26.589768327934927	21.01508690131387	32.88495129643895	53.74880863828581
29	51.423987164049045	40.12200235706364	30.145229814425605	23.62193196401848	35.17248455326099	54.47639425517574
